chozodecal01_bc maps\textures\chozodecal01_bc.bctex
destructibleblockbomb_d maps\blocks\breakable_block_bomb\textures\destructibleblockbomb_d.bctex
cavpathrock04v1_nm maps\textures\cavpathrock04v1_nm.bctex
lava_drops06_anim_pos maps\fx\lavadrops\textures\lava_drops06_anim_pos.bctex
chozomatmetalgray10_nm maps\textures\chozomatmetalgray10_nm.bctex
cube07 actors\characters\samuszerolow\models\textures\cube07.bctex
noise_energy actors\weapons\supergoliathlinebomb\fx\textures\noise_energy.bctex
chozoaqpath05x1_nm maps\textures\chozoaqpath05x1_nm.bctex
chozomatconcreteblue06_nm maps\textures\chozomatconcreteblue06_nm.bctex
waves01_nm maps\textures\waves01_nm.bctex
chozopathemmy01_bc maps\textures\chozopathemmy01_bc.bctex
chozobgair_bc maps\textures\chozobgair_bc.bctex
splash_lavaexit_pos2 actors\characters\samus\fx\textures\splash_lavaexit_pos2.bctex
cavbugrock02_bc maps\textures\cavbugrock02_bc.bctex
chozomatmetalyellow07_nm maps\textures\chozomatmetalyellow07_nm.bctex
magdigrocklava03_bc maps\textures\magdigrocklava03_bc.bctex
rejasmetalicas_bc maps\textures\rejasmetalicas_bc.bctex
vrrfinalbossdiffusehdr maps\cubemaps\20_11\vrr.finalbossdiffusehdr.bctex
caterzilla_at actors\characters\caterzilla\models\textures\caterzilla_at.bctex
splash_lavaenter_pos2 actors\characters\samus\fx\textures\splash_lavaenter_pos2.bctex
mudmatcave03_at maps\textures\mudmatcave03_at.bctex
slidle_at actors\characters\slidle\models\textures\slidle_at.bctex
consolea_bc actors\props\samuship_int\models\textures\consolea_bc.bctex
gammacoccondisolve system\fx\textures\gammacoccondisolve.bctex
shaft_multi system\fx\textures_zdr\shaft_multi.bctex
treemat01_nm maps\textures\treemat01_nm.bctex
fire_explosion system\fx\textures_zdr\fire_explosion.bctex
ledgewater maps\objects\ledgewater00\textures\ledgewater.bctex
verticalcavmatte_03 maps\textures\verticalcavmatte_03.bctex
arrow2 system\fx\textures\arrow2.bctex
magma_small system\fx\textures_zdr\magma_small.bctex
slimedecal01_bc maps\textures\slimedecal01_bc.bctex
chozomatmetalblue13_bc maps\textures\chozomatmetalblue13_bc.bctex
chozomatpipes03_bc maps\textures\chozomatpipes03_bc.bctex
rockcavedark01_bc maps\textures\rockcavedark01_bc.bctex
lensflare system\fx\textures_zdr\lensflare.bctex
orbstatue_nm maps\textures\orbstatue_nm.bctex
hyper_cannon_at actors\characters\samus\models\textures\hyper_cannon_at.bctex
aquarockwall05x3rock_at maps\textures\aquarockwall05x3rock_at.bctex
spawnpointautsharp_bc actors\spawnpoints\spawnpointautsharp\models\textures\spawnpointautsharp_bc.bctex
spin2 system\fx\textures\spin2.bctex
chozocavechaincolumn01_bc maps\textures\chozocavechaincolumn01_bc.bctex
sanddunes02_bc maps\textures\sanddunes02_bc.bctex
chozomatcircuits01_bc maps\textures\chozomatcircuits01_bc.bctex
ev_gatesealed_aut_001_at actors\props\ev_gatesealed_aut_001\models\textures\ev_gatesealed_aut_001_at.bctex
chozoassetconsole01_at maps\textures\chozoassetconsole01_at.bctex
chozosanccontrol02_nm maps\textures\chozosanccontrol02_nm.bctex
chozoshiptunnel_id2_bc maps\textures\chozoshiptunnel_id2_bc.bctex
rustdecal04_nm maps\textures\rustdecal04_nm.bctex
chozomatflatblue03_bc maps\textures\chozomatflatblue03_bc.bctex
cube_firts_3diffusehdr maps\cubemaps\cave_saferoom_c\cube_firts_3diffusehdr.bctex
vrrwaterdiffusehdr maps\cubemaps\20_11\vrr.waterdiffusehdr.bctex
chozobgquarantine03_bc maps\textures\chozobgquarantine03_bc.bctex
chozobgstructure01_nm maps\textures\chozobgstructure01_nm.bctex
roots_dead_nm actors\props\hydrogigacorpse\models\textures\roots_dead_nm.bctex
churchrobot01_nm maps\textures\churchrobot01_nm.bctex
chozoaqbg_bc maps\textures\chozoaqbg_bc.bctex
fusionmorphvaria_d actors\characters\morphball\models\textures\fusionmorphvaria_d.bctex
charco01_at maps\textures\charco01_at.bctex
yellow_energy01_at maps\textures\yellow_energy01_at.bctex
cavpathrockmod01v2_bc maps\textures\cavpathrockmod01v2_bc.bctex
mblauncher_launcher_at actors\props\mblauncher_launcher_gen_001\models\textures\mblauncher_launcher_at.bctex
mudmatcave05_bc maps\textures\mudmatcave05_bc.bctex
icemissile_at actors\items\powerup_icemissile\models\textures\icemissile_at.bctex
forcefield system\fx\textures_zdr\forcefield.bctex
samussplash system\fx\textures\samussplash.bctex
cavpathrock01v3_nm maps\textures\cavpathrock01v3_nm.bctex
magdigrockplatformlava01_bc maps\textures\magdigrockplatformlava01_bc.bctex
holoprojector01_at maps\textures\holoprojector01_at.bctex
aquarock01x3salt_bc maps\textures\aquarock01x3salt_bc.bctex
cubechurch256 system\dev\reflectioncubetest\cubechurch256.bctex
ice_bc actors\props\weightactivatedplatform_teleport_frozen\models\textures\ice_bc.bctex
liquid_dark_splash_02 system\fx\textures_zdr\liquid_dark_splash_02.bctex
fr2_cave_inispecularhdr maps\cubemaps\definitivos\fr.2_cave_inispecularhdr.bctex
chozomatpaintedyellow03_bc maps\textures\chozomatpaintedyellow03_bc.bctex
rain01_bc maps\textures\rain01_bc.bctex
chozomatmetalbrown04_nm maps\textures\chozomatmetalbrown04_nm.bctex
cavstatuespecialboss02_at maps\textures\cavstatuespecialboss02_at.bctex
mattepaintingbackgroundmagma15_bc maps\textures\mattepaintingbackgroundmagma15_bc.bctex
chozosteelplates_bc maps\textures\chozosteelplates_bc.bctex
cavpathrock03v3_bc maps\textures\cavpathrock03v3_bc.bctex
gas_noise system\fx\textures_zdr\gas_noise.bctex
chozometalsimmetry_bc maps\textures\chozometalsimmetry_bc.bctex
chozomatconcretepurple01_nm maps\textures\chozomatconcretepurple01_nm.bctex
chozomatconcretegray01_at maps\textures\chozomatconcretegray01_at.bctex
chozomatmetalbrown05_bc maps\textures\chozomatmetalbrown05_bc.bctex
sakai_nm actors\characters\sakai\models\textures\sakai_nm.bctex
chozomatmetalred05_nm maps\textures\chozomatmetalred05_nm.bctex
chozoallcorner01b_at maps\objects\chozoallcorner01b\textures\chozoallcorner01b_at.bctex
shootactivator_at actors\props\pistonmag01\models\textures\shootactivator_at.bctex
red_path_bc maps\textures\red_path_bc.bctex
gui_ornaments gui\textures\gui_ornaments.bctex
cloud system\fx\textures_zdr\cloud.bctex
boostplasmabeam_rgba actors\weapons\plasmabeam\models\textures\boostplasmabeam_rgba.bctex
er_supermetroid gui\textures\er_supermetroid.bctex
basetile01_at maps\textures\basetile01_at.bctex
chozomatmetalgray03_nm maps\textures\chozomatmetalgray03_nm.bctex
noise_clouds actors\characters\scorpius\fx\textures\noise_clouds.bctex
cavpathrockmod01v3_at maps\textures\cavpathrockmod01v3_at.bctex
magnetmat01_bc maps\textures\magnetmat01_bc.bctex
e_3_5diffusehdr maps\cubemaps\emmy\e_3_5diffusehdr.bctex
cubemap_normaldiffusehdr maps\cubemaps\definitivos\cubemap_normaldiffusehdr.bctex
powerbeam_impact_innersoul system\fx\textures_zdr\powerbeam_impact_innersoul.bctex
cht_atlas system\fonts\textures\cht_atlas.bctex
mlm_block_at actors\props\mlm_block\models\textures\mlm_block_at.bctex
fauna02_at actors\characters\fauna02\models\textures\fauna02_at.bctex
texturetext_r gui\textures\texturetext_r.bctex
leavemat01_at maps\textures\leavemat01_at.bctex
chozoborderemmy01_bc maps\textures\chozoborderemmy01_bc.bctex
ev_tbboos_bc actors\props\ev_tbboos\models\textures\ev_tbboos_bc.bctex
breakable_block_weight_nm maps\blocks\breakable_block_weight\textures\breakable_block_weight_nm.bctex
automper_at actors\characters\automper\models\textures\automper_at.bctex
weaponboost_l actors\weapons\weaponboost\models\textures\weaponboost_l.bctex
firemuzzle system\fx\textures_zdr\firemuzzle.bctex
chozomatmetalblue07_nm maps\textures\chozomatmetalblue07_nm.bctex
forestdigrock03_nm maps\textures\forestdigrock03_nm.bctex
chozowarriorxelite_body_02_at actors\characters\chozowarriorxelite\models\textures\chozowarriorxelite_body_02_at.bctex
samusgravitymorph_a actors\characters\morphball\models\textures\samusgravitymorph_a.bctex
varia_body_at actors\characters\samus\models\textures\varia_body_at.bctex
chozomatflatgray02_bc maps\textures\chozomatflatgray02_bc.bctex
chozowarriorxnormal_tentacles_at actors\characters\chozowarriorxnormal\models\textures\chozowarriorxnormal_tentacles_at.bctex
chozoallbggenwall02_nm maps\objects\chozoallbggenwall03x3\textures\chozoallbggenwall02_nm.bctex
doorautomatic_nm actors\props\doorautomatic\models\textures\doorautomatic_nm.bctex
cloud00_lightinner maps\fx\cloudlightning\textures\cloud00_lightinner.bctex
emmyprotoblack02_at actors\characters\emmyproto\models\textures\emmyprotoblack02_at.bctex
resin_pos2 maps\fx\resin\textures\resin_pos2.bctex
magdigrock05_nm maps\textures\magdigrock05_nm.bctex
chozoallbggenwall02_bc maps\objects\chozoallbggenwall03x3\textures\chozoallbggenwall02_bc.bctex
chozobasebgwindow_bc maps\textures\chozobasebgwindow_bc.bctex
lightshaft_d maps\textures\lightshaft_d.bctex
cavpathrock04v5_nm maps\textures\cavpathrock04v5_nm.bctex
spacejump_bc actors\items\powerup_spacejump\models\textures\spacejump_bc.bctex
powerup_screwattack_bc actors\items\powerup_screwattack\models\textures\powerup_screwattack_bc.bctex
cavpathrock02v3_at maps\textures\cavpathrock02v3_at.bctex
mapev_plant002_bc actors\events\mapev_plant002\models\textures\mapev_plant002_bc.bctex
smoke_burst system\fx\textures_zdr\smoke_burst.bctex
kraidbouncingcreatures_at actors\weapons\kraidbouncingcreatures\models\textures\kraidbouncingcreatures_at.bctex
sparks02 actors\characters\autsharp\fx\textures\sparks02.bctex
chozoalltunnelbg01_bc maps\textures\chozoalltunnelbg01_bc.bctex
gravity_hand_bc actors\characters\samus\models\textures\gravity_hand_bc.bctex
chozowarriorelite_weapons_at actors\characters\chozowarriorelite\models\textures\chozowarriorelite_weapons_at.bctex
cavcrystal06_bc maps\textures\cavcrystal06_bc.bctex
bubblespipe_00 maps\fx\liquidalongpipes\textures\bubblespipe_00.bctex
piece1_bc system\fx\textures_zdr\piece1_bc.bctex
chozo_five maps\fx\chozonumbers\fx\textures\chozo_five.bctex
gold01_nm maps\textures\gold01_nm.bctex
pup_variasuit_bc actors\items\powerup_variasuit\models\textures\pup_variasuit_bc.bctex
path04_bc maps\textures\path04_bc.bctex
mapev_fishes_nm actors\events\mapev_fishes01\models\textures\mapev_fishes_nm.bctex
head_nm actors\characters\chozocommanderx\models\textures\head_nm.bctex
cavartifactorstatue_bc maps\textures\cavartifactorstatue_bc.bctex
forestgoundwet02_nm maps\textures\forestgoundwet02_nm.bctex
waterripple system\fx\textures_zdr\waterripple.bctex
darkblue04_nm maps\textures\darkblue04_nm.bctex
chozoskypathroof01_nm maps\textures\chozoskypathroof01_nm.bctex
chozomatmetalgray16_nm maps\textures\chozomatmetalgray16_nm.bctex
chozomatcircuits04_at maps\textures\chozomatcircuits04_at.bctex
rockcavegrey01tile_bc maps\textures\rockcavegrey01tile_bc.bctex
cavrockbackground23_bc maps\textures\cavrockbackground23_bc.bctex
chozobgemmy01_at maps\textures\chozobgemmy01_at.bctex
chozocommander_laserburst actors\characters\chozocommander\fx\textures\chozocommander_laserburst.bctex
texturetext_rstick gui\textures\texturetext_rstick.bctex
mudwave01fx_nor actors\weapons\kraidshockersplashprojectile\fx\textures\mudwave01fx_nor.bctex
water_effluent maps\objects\cavewater00\textures\water_effluent.bctex
chozomatflatblue03_nm maps\textures\chozomatflatblue03_nm.bctex
noise_dissolve actors\props\grapplepulloff1x2\fx\textures\noise_dissolve.bctex
trailchareditor system\fx\textures_zdr\trailchareditor.bctex
clearblue01_nm maps\textures\clearblue01_nm.bctex
chozomatconcretepattern06_bc maps\textures\chozomatconcretepattern06_bc.bctex
itemspherecoat actors\items\powerup_morphball\models\textures\itemspherecoat.bctex
autsniper_at actors\characters\autsniper\models\textures\autsniper_at.bctex
texturetext_lstickpress gui\textures\texturetext_lstickpress.bctex
chozocommander_glow system\fx\textures_zdr\chozocommander_glow.bctex
chozoallpath01x1_bc maps\objects\chozoallpath01x1\textures\chozoallpath01x1_bc.bctex
shipf_b_bc maps\textures\shipf_b_bc.bctex
sabotoru_nest_slime_nm actors\props\doorchargecharge\models\textures\sabotoru_nest_slime_nm.bctex
chozomatpipes09_bc maps\textures\chozomatpipes09_bc.bctex
butterfly_nm actors\events\butterfly\models\textures\butterfly_nm.bctex
chozosancnest03_bc maps\textures\chozosancnest03_bc.bctex
chozoallassetbox01_bc maps\textures\chozoallassetbox01_bc.bctex
1diffusehdr maps\cubemaps\25-7\1diffusehdr.bctex
hexagons system\fx\textures_zdr\hexagons.bctex
ice_cube_at actors\props\ice_cube\models\textures\ice_cube_at.bctex
chozopathemmy02_at maps\textures\chozopathemmy02_at.bctex
chozomatmetalyellow05_bc maps\textures\chozomatmetalyellow05_bc.bctex
armadigger_nm actors\characters\armadigger\models\textures\armadigger_nm.bctex
cavcolumcrystal02_bc maps\textures\cavcolumcrystal02_bc.bctex
chozotrail_long_faded system\fx\textures_zdr\chozotrail_long_faded.bctex
chozomatmetalgray02_nm maps\textures\chozomatmetalgray02_nm.bctex
fire_end system\fx\textures_zdr\fire_end.bctex
lavasolid_nm maps\textures\lavasolid_nm.bctex
chozomatmetalred06_nm maps\textures\chozomatmetalred06_nm.bctex
rockcavegrey01_at maps\textures\rockcavegrey01_at.bctex
lines_red actors\items\item_missiletank\models\textures\lines_red.bctex
powerbeam_impact_chargeddetail system\fx\textures_zdr\powerbeam_impact_chargeddetail.bctex
chozocavproto03_nm maps\textures\chozocavproto03_nm.bctex
shipextc_nm actors\props\samus_ship_b\models\textures\shipextc_nm.bctex
prueba_cm_edit_5diffusehdr maps\cubemaps\pruebas\prueba_cm_edit_5diffusehdr.bctex
chozomatpaintedmetalred02_bc maps\textures\chozomatpaintedmetalred02_bc.bctex
mask actors\characters\hecathon\fx\textures\mask.bctex
feathers_bc actors\characters\chozocommanderx\models\textures\feathers_bc.bctex
traprot_nm actors\props\trap_rot_cv_001\models\textures\traprot_nm.bctex
grass03_nm maps\textures\grass03_nm.bctex
cavstatuespecialboss01_nm maps\textures\cavstatuespecialboss01_nm.bctex
mattepaintingforest014background02_bc maps\textures\mattepaintingforest014background02_bc.bctex
cavpathcrystal01_at maps\textures\cavpathcrystal01_at.bctex
cavepilar_at maps\textures\cavepilar_at.bctex
redenki_nm actors\characters\redenki\models\textures\redenki_nm.bctex
pistonmagma_at actors\props\pistonmagma\models\textures\pistonmagma_at.bctex
bigfist_bc actors\characters\bigfist\models\textures\bigfist_bc.bctex
stairs_bc actors\props\elevator\models\textures\stairs_bc.bctex
2specularhdr maps\cubemaps\25-7\2specularhdr.bctex
watershine system\fx\textures_zdr\watershine.bctex
chozoallpathgen01_at maps\textures\chozoallpathgen01_at.bctex
specialrocket_airline system\fx\textures_zdr\specialrocket_airline.bctex
klaida_bc actors\characters\klaida\models\textures\klaida_bc.bctex
frozenglasslab_bc maps\textures\frozenglasslab_bc.bctex
doorshieldplasma_at actors\props\door_shield_plasma\models\textures\doorshieldplasma_at.bctex
energy_soulcoaster system\fx\textures_zdr\energy_soulcoaster.bctex
platform_commanderelevator_bc actors\props\wplatform_cm_elevator\models\textures\platform_commanderelevator_bc.bctex
gooshockerx_ball_bc actors\characters\gooshocker\models\textures\gooshockerx_ball_bc.bctex
aquarockwall02x3simple_bc maps\textures\aquarockwall02x3simple_bc.bctex
chozomatconcretewhite02_bc maps\textures\chozomatconcretewhite02_bc.bctex
bubbles03 maps\fx\aquabubbles\textures\bubbles03.bctex
chozobgpipes_at maps\textures\chozobgpipes_at.bctex
daivoswarm_nm actors\characters\daivoswarm\models\textures\daivoswarm_nm.bctex
chozoallscaffold01_bc maps\textures\chozoallscaffold01_bc.bctex
chozomadornpipes01_nm maps\objects\chozoadornpipes01\textures\chozomadornpipes01_nm.bctex
lighshaftbase_lamp2 maps\textures\lighshaftbase_lamp2.bctex
quapart01matte01_bc maps\textures\quapart01matte01_bc.bctex
chozoallassetmachine01_nm maps\textures\chozoallassetmachine01_nm.bctex
noise actors\characters\obsydomithon\fx\textures\noise.bctex
fedship_nm actors\props\fedship\models\textures\fedship_nm.bctex
explosion5 system\fx\textures\explosion5.bctex
chozomatmetalgreen03_at maps\textures\chozomatmetalgreen03_at.bctex
plantforesthongo_nm maps\textures\plantforesthongo_nm.bctex
selfilum_bc actors\props\maproom\models\textures\selfilum_bc.bctex
kraidrottenmeat_bc actors\weapons\kraidrottenmeat\models\textures\kraidrottenmeat_bc.bctex
chozosancfullflag01alphafx_nm maps\textures\chozosancfullflag01alphafx_nm.bctex
chozosanccolumn02_at maps\textures\chozosanccolumn02_at.bctex
scorpiusbody_nm actors\characters\scorpius\models\textures\scorpiusbody_nm.bctex
centralunitcave01_bc actors\characters\centralunitcave\models\textures\centralunitcave01_bc.bctex
chozomatmetalwhite02_at maps\textures\chozomatmetalwhite02_at.bctex
chozomatmetalbrown11_nm maps\textures\chozomatmetalbrown11_nm.bctex
chozosancstatue03cloth_nm maps\textures\chozosancstatue03cloth_nm.bctex
aquarockwall04x3simple_bc maps\textures\aquarockwall04x3simple_bc.bctex
chozomatmetalgray12_nm maps\textures\chozomatmetalgray12_nm.bctex
melee actors\characters\samus\fx\textures\melee.bctex
fing_bg actors\characters\fing\models\textures\fing_bg.bctex
cavrockbackground19_bc maps\textures\cavrockbackground19_bc.bctex
circuitevolution actors\props\doorwavebeam\models\textures\circuitevolution.bctex
powerbeam_impact_chargeddetail_blured system\fx\textures_zdr\powerbeam_impact_chargeddetail_blured.bctex
cooldown_arms_nm actors\characters\cooldownxboss\models\textures\cooldown_arms_nm.bctex
destroyer_bc actors\characters\core_x\models\textures\destroyer_bc.bctex
kraid_belly actors\characters\kraid\fx\textures\kraid_belly.bctex
chozomatmetalblack01_bc maps\textures\chozomatmetalblack01_bc.bctex
impact_detail system\fx\textures_zdr\impact_detail.bctex
weightactivatedplatform_at actors\props\weightactivatedplatform_valve\models\textures\weightactivatedplatform_at.bctex
chozosancpillar01break_nm maps\textures\chozosancpillar01break_nm.bctex
redclouds maps\textures\redclouds.bctex
sabotoru_nest_slime_at actors\props\doorchargecharge\models\textures\sabotoru_nest_slime_at.bctex
mattepaintingquarantinepart01background01_bc maps\textures\mattepaintingquarantinepart01background01_bc.bctex
fireballbounce_l system\fx\textures\fireballbounce_l.bctex
block_slide_reg_001_nm actors\props\block_slide_reg_001\models\textures\block_slide_reg_001_nm.bctex
pilar01b_at maps\textures\pilar01b_at.bctex
chozomatflatblack04_nm maps\textures\chozomatflatblack04_nm.bctex
ice_elevator_nm actors\props\weightactivatedplatform_elevator_frozen\models\textures\ice_elevator_nm.bctex
chozostationpath_nm maps\textures\chozostationpath_nm.bctex
lightning_spiky system\fx\textures_zdr\lightning_spiky.bctex
prueba_cm_edit_2diffusehdr maps\cubemaps\pruebas\prueba_cm_edit_2diffusehdr.bctex
chozoallwall02a_nm maps\textures\chozoallwall02a_nm.bctex
specialburst_backburst system\fx\textures_zdr\specialburst_backburst.bctex
rodotuk_soul system\fx\textures_zdr\rodotuk_soul.bctex
testmats01_bc maps\textures\testmats01_bc.bctex
doorcentralunit_bc actors\props\doorcentralunit\models\textures\doorcentralunit_bc.bctex
chozobasebg02_nm maps\textures\chozobasebg02_nm.bctex
lava_drops02_anim_pos maps\fx\lavadrops\textures\lava_drops02_anim_pos.bctex
impact_detail02 system\fx\textures_zdr\impact_detail02.bctex
noise actors\characters\rinka\fx\textures\noise.bctex
bordershexagonal actors\items\item_missiletankplus\models\textures\bordershexagonal.bctex
chozomatmetalyellow06_bc maps\textures\chozomatmetalyellow06_bc.bctex
breakable_block_missile02_nm maps\blocks\breakable_block_missile02\textures\breakable_block_missile02_nm.bctex
blue_energy01_nm maps\textures\blue_energy01_nm.bctex
aquarockwall01x3rock_bc maps\textures\aquarockwall01x3rock_bc.bctex
fire_generic_bw_02 system\fx\textures_zdr\fire_generic_bw_02.bctex
eggshell system\fx\textures\eggshell.bctex
bigfist_trail actors\characters\bigfist\fx\textures\bigfist_trail.bctex
wave_big system\fx\textures_zdr\wave_big.bctex
ir_quarantine gui\textures\ir_quarantine.bctex
chozolamp01_bc maps\textures\chozolamp01_bc.bctex
crack system\fx\textures_zdr\crack.bctex
teleporterbase_bc actors\props\teleporter\models\textures\teleporterbase_bc.bctex
aberration02_bc maps\textures\aberration02_bc.bctex
chozohologram_d maps\objects\chozohologram\textures\chozohologram_d.bctex
chozoskybasecontroldesk01_nm maps\textures\chozoskybasecontroldesk01_nm.bctex
forpart010matte01 maps\textures\forpart010matte01.bctex
powergenerator_bc actors\props\powergenerator\models\textures\powergenerator_bc.bctex
feathers_nm actors\characters\chozocommanderx\models\textures\feathers_nm.bctex
cavrockbackground22_bc maps\textures\cavrockbackground22_bc.bctex
body_nm actors\characters\hydrogiga\models\textures\body_nm.bctex
chozosanccolumn08_nm maps\textures\chozosanccolumn08_nm.bctex
watertank_col system\fx\tests\watertank\textures\watertank_col.bctex
chozomatflatblack01_nm maps\textures\chozomatflatblack01_nm.bctex
walkmud01_norm actors\characters\chozozombiex\fx\textures\walkmud01_norm.bctex
nailong_bc actors\characters\nailong\models\textures\nailong_bc.bctex
cloud02 system\fx\textures\cloud02.bctex
chozosancstatue01_bc maps\textures\chozosancstatue01_bc.bctex
amoebas00_blur maps\fx\amoebaparticles00\textures\amoebas00_blur.bctex
aquarockwall02x3_nm maps\textures\aquarockwall02x3_nm.bctex
chozoaqatrezzodorbg02b_nm maps\textures\chozoaqatrezzodorbg02b_nm.bctex
chozomatmetalblue03_bc maps\textures\chozomatmetalblue03_bc.bctex
missile_bc actors\items\powerup_missile\models\textures\missile_bc.bctex
chozoalphabet_bc maps\textures\chozoalphabet_bc.bctex
autool_nm actors\characters\autool\models\textures\autool_nm.bctex
magrockborderlava_nm maps\textures\magrockborderlava_nm.bctex
chozodecal06_at maps\textures\chozodecal06_at.bctex
distortion_tile system\fx\textures_zdr\distortion_tile.bctex
fire_blue_01 system\fx\textures_zdr\fire_blue_01.bctex
shootactivatorhidrogiga_nm actors\props\shootactivatorhidrogiga\models\textures\shootactivatorhidrogiga_nm.bctex
aquarocksalt02rock_bc maps\objects\aquarocksalt02\textures\aquarocksalt02rock_bc.bctex
chozomatconcretepattern05_bc maps\textures\chozomatconcretepattern05_bc.bctex
ground_crack system\fx\textures_zdr\ground_crack.bctex
spikesaura actors\characters\autsharp\fx\textures\spikesaura.bctex
chozomatplates02_bc maps\textures\chozomatplates02_bc.bctex
item_minix_bc actors\items\item_minix\textures\item_minix_bc.bctex
mapev_sea_slug_at actors\events\mapev_sea_slug\model\textures\mapev_sea_slug_at.bctex
zipline_nm actors\props\zipline\models\textures\zipline_nm.bctex
muralbreakeable_cut40_at actors\props\muralbreakeable_cut40\models\textures\muralbreakeable_cut40_at.bctex
baserock_01salt_nm maps\textures\baserock_01salt_nm.bctex
chozozombiexarmor_nm actors\characters\chozozombiex\models\textures\chozozombiexarmor_nm.bctex
chozodebriswall02_at maps\textures\chozodebriswall02_at.bctex
queencoredisolve system\fx\textures\queencoredisolve.bctex
scorpius_trail actors\characters\scorpius\fx\textures\scorpius_trail.bctex
chozomatmetalwhite06_nm maps\textures\chozomatmetalwhite06_nm.bctex
shot_purple actors\characters\chozocommander\fx\textures\shot_purple.bctex
powerbeam_charged_souls_front_tiled02 system\fx\textures_zdr\powerbeam_charged_souls_front_tiled02.bctex
resinhorizontal_pos2 maps\fx\resin\textures\resinhorizontal_pos2.bctex
commander_armskybase_bc actors\characters\chozocommander_arm\models\textures\commander_armskybase_bc.bctex
cube00 maps\textures\cube00.bctex
chozomatmetalgreen01_bc maps\textures\chozomatmetalgreen01_bc.bctex
chozoemmycolumn_nm maps\textures\chozoemmycolumn_nm.bctex
energy_arcs system\fx\textures_zdr\energy_arcs.bctex
fusiblebox_broken_at actors\props\fusiblebox_broken\models\textures\fusiblebox_broken_at.bctex
mask actors\characters\obsydomithon\fx\textures\mask.bctex
muzzlelaser system\fx\textures_zdr\muzzlelaser.bctex
doorpresencehall_bc actors\props\doorpresencepresence\models\textures\doorpresencehall_bc.bctex
armadigger_at actors\characters\armadigger\models\textures\armadigger_at.bctex
cucannon_nm actors\characters\cucannon\models\textures\cucannon_nm.bctex
ev_aquadrain_left_nm actors\props\ev_aquadrain_left\models\textures\ev_aquadrain_left_nm.bctex
bomb_endenergy system\fx\textures_zdr\bomb_endenergy.bctex
specialchozoroomcubespecularhdr maps\cubemaps\specialchozoroomcubespecularhdr.bctex
aqua_v1specularhdr maps\cubemaps\20_9\aqua_v1specularhdr.bctex
chozomatpipes12_bc maps\textures\chozomatpipes12_bc.bctex
commandercap_at actors\characters\chozocommander\models\textures\commandercap_at.bctex
soft_aura system\fx\textures_zdr\soft_aura.bctex
mossdecal_bc maps\textures\mossdecal_bc.bctex
shaft_orange_long system\fx\textures_zdr\shaft_orange_long.bctex
magdigrockwalllava02_bc maps\textures\magdigrockwalllava02_bc.bctex
b_bc actors\props\capsulelaunchershipyard\models\textures\b_bc.bctex
aquarocksalt03velvet_bc maps\objects\aquarocksalt03\textures\aquarocksalt03velvet_bc.bctex
chozomatconcretebase01_nm maps\textures\chozomatconcretebase01_nm.bctex
doorpresencehall_at actors\props\doorpresencepresence\models\textures\doorpresencehall_at.bctex
chozopipes01clamp_nm maps\textures\chozopipes01clamp_nm.bctex
powergenengine_c_bc actors\props\powergeneratorengine\models\textures\powergenengine_c_bc.bctex
aquanature06_nm maps\textures\aquanature06_nm.bctex
airport_cubemapdiffusehdr maps\cubemaps\airport_cubemapdiffusehdr.bctex
doorcaveatrium_bc actors\props\doorcaveatrium\models\textures\doorcaveatrium_bc.bctex
samussuit-hyper gui\textures\samussuit-hyper.bctex
runattackmud01_norm actors\characters\chozozombiex\fx\textures\runattackmud01_norm.bctex
coldzoneasset03_bc maps\textures\coldzoneasset03_bc.bctex
rockcavedark02_bc maps\textures\rockcavedark02_bc.bctex
ship_a_nm maps\textures\ship_a_nm.bctex
chozorbtsdwn_nm actors\characters\chozorobotsoldier\models\textures\chozorbtsdwn_nm.bctex
hyper_head_at actors\characters\samus\models\textures\hyper_head_at.bctex
powergenengine_b_at actors\props\powergeneratorengine\models\textures\powergenengine_b_at.bctex
specialrocket_impactsouls system\fx\textures_zdr\specialrocket_impactsouls.bctex
radial_shaft system\fx\textures_zdr\radial_shaft.bctex
aqua_rockdiffusehdr maps\cubemaps\20_9\aqua_rockdiffusehdr.bctex
stairs_bc actors\props\elevator_with_cutscene\models\textures\stairs_bc.bctex
chozomagplatform_at maps\textures\chozomagplatform_at.bctex
specialburst_backcharge_lines actors\weapons\powerbeam\models\textures\specialburst_backcharge_lines.bctex
chozogrid01_nm maps\textures\chozogrid01_nm.bctex
commandercap_bc actors\characters\chozocommander\models\textures\commandercap_bc.bctex
baserock_01salt_at maps\textures\baserock_01salt_at.bctex
emmy_v1specularhdr maps\cubemaps\19-8\emmy_v1specularhdr.bctex
rockscwxencounter01_nm maps\textures\rockscwxencounter01_nm.bctex
planteater_petalos_at actors\characters\planteater\models\textures\planteater_petalos_at.bctex
breakable_block_missile_bc maps\blocks\breakable_block_missile\textures\breakable_block_missile_bc.bctex
linebomb_at actors\weapons\linebomb\models\textures\linebomb_at.bctex
aquarockplatform01x3_nm maps\textures\aquarockplatform01x3_nm.bctex
rejasmetalicas_nm maps\textures\rejasmetalicas_nm.bctex
chozosancfullflag02alpha_at maps\textures\chozosancfullflag02alpha_at.bctex
forestrock04_nm maps\textures\forestrock04_nm.bctex
brekable_water_pos2 actors\props\breakablecave003\fx\textures\brekable_water_pos2.bctex
